deviceid,poi
100,"쇼핑,유통>상가,아케이드"
100,"쇼핑,유통>슈퍼,마트"
100,"생활,편의>자동차정비,수리"
103,수선>구두수선
103,"수리,AS>컴퓨터수리"
103,"직업,기술학원>컴퓨터"
104,한식>죽
104,"쇼핑,유통>쇼핑센터,할인매장"
104,수선>구두수선
107,"쇼핑,유통>상가,아케이드"
107,"쇼핑,유통>당구용품"
107,"제조업>제재,목재가공"
108,"사회,복지>장애인복지시설"
112,"사회,복지>장애인복지시설"
112,종교>개신교
112,"생활,편의>복권,로또"
113,"금융,보험>은행"
113,"건강,의료>국립병원"
115,"기차,철도>KTX정차역"
116,"쇼핑,유통>상가,아케이드"
116,"스포츠,오락>체육관"
118,"문화,예술>복합문화공간"
118,"교육,학문>대학교"
118,"음식점>치킨,닭강정"
123,"건강,의료>시립,도립병원"
123,"서비스,산업>기업"
128,수선>구두수선
128,"육류,고기요리>찜닭"
128,"사회,복지>장애인종합복지관"
129,"스포츠,오락>구민체육센터"
129,제조업>의류제작
136,"사회,복지>장애인복지시설"
136,"사회,복지>재가노인요양센터"
136,"공공,사회기관>공사,공단"
138,"쇼핑,유통>CCTV"
138,"사회,복지>종합사회복지관"
138,"건설업>배관,냉난방공사"
139,"교육,학문>초등학교"
139,"사회,복지>종합사회복지관"
139,"사회,복지>노인복지"
140,종교>개신교
140,"기업,빌딩>부속건물"
141,"쇼핑,유통>정장"
141,"서비스,산업>무역"
141,"쇼핑,유통>상가,아케이드"
142,공중전화
142,"여행,명소>박물관"
142,수선>구두수선
149,"금융,보험>은행"
149,종합도소매>아울렛
149,"스포츠,오락>스포츠시설"
150,"한식>족발,보쌈"
151,"교육,학문>어린이집"
151,"교육,학문>군구립도서관"
151,"공공,사회기관>공공,행정시설"
172,숙박>여관
172,"육류,고기요리>찜닭"
172,"문화,예술>공연장"
173,"공공,사회기관>행정복지센터"
173,"음식점>치킨,닭강정"
173,술집>요리주점
174,"공공,사회기관>구청"
207,수선>구두수선
207,"육류,고기요리>찜닭"
207,제조업>의류제작
208,"육류,고기요리>찜닭"
208,"여행,명소>도시,테마공원"
208,식료품>반찬가게
209,"공공,사회기관>회관"
209,"교육,학문>고등학교"
209,수선>구두수선
210,"사회,복지>장애인복지시설"
210,"사회,복지>자활후견기관"
210,종교>개신교
211,"사회,복지>장애인복지시설"
211,"사회,복지>자활후견기관"
211,수선>구두수선
212,"육류,고기요리>찜닭"
212,수선>구두수선
212,종교>개신교
213,초등학교>부속건물
213,"문화,예술>공연장"
213,"스포츠,오락>스포츠시설"
216,"음식점>카페,디저트"
216,"육류,고기요리>찜닭"
216,수선>구두수선
217,"음식점>카페,디저트"
217,"육류,고기요리>찜닭"
217,"건강,의료>국립병원"
218,"사회,복지>자활후견기관"
218,"육류,고기요리>찜닭"
218,수선>구두수선
228,"사회,복지>장애인복지시설"
228,"쇼핑,유통>상가,아케이드"
228,종교>개신교
250,"사회,복지>장애인복지시설"
250,종교>개신교
250,"쇼핑,유통>슈퍼,마트"
251,"금융,보험>은행"
251,"쇼핑,유통>백화점"
252,"육류,고기요리>찜닭"
252,"교육,학문>대학교"
252,"병원,의원>안과"
253,"카페,디저트>카페"
253,한식>국수
253,"건강,의료>국립병원"
254,"문화,예술>공연장"
254,"사회,복지>장애인복지시설"
254,"교육,학문>고등학교"
255,"여행,명소>도시,테마공원"
256,"교육,학문>특수학교"
256,"여행,명소>관광안내소"
256,"생활,편의>복권,로또"
258,한식>돼지고기구이
258,숙박>모텔
258,"여행,명소>유적지,사적지"
260,"쇼핑,유통>종합가전"
260,음식점>일식>샤브샤브
261,"스포츠,오락>스포츠시설"
261,중식>중식당
261,"건강,의료>종합병원"
262,"사회,복지>장애인복지시설"
262,"건강,의료>보건소"
262,"쇼핑,유통>취미,레저용품"
263,"스포츠,오락>PC방"
263,"건강,의료>국립병원"
263,"공공,사회기관>구청"
264,종교>개신교
264,"건강,의료>종합병원"
264,"건강,의료>요양원,요양센터"
265,"생활,편의>복권,로또"
265,"병원,의원>정형외과"
265,음식점>이탈리아음식
266,"사회,복지>장애인복지시설"
266,"쇼핑,유통>종합가전"
266,도로시설>방면정보
268,"사회,복지>장애인복지시설"
268,"쇼핑,유통>쇼핑센터,할인매장"
268,"쇼핑,유통>슈퍼,마트"
270,"사회,복지>장애인복지시설"
270,수선>구두수선
270,"청소>건물,빌딩"
271,분식>종합분식
271,"건강,의료>종합병원"
271,"건강,의료>메디컬센터"
272,"임대,대여>자전거>따릉이"
272,"스포츠,오락>스포츠시설"
272,분식>종합분식
273,"공공,사회기관>구청"
273,일식>일식당
273,"공공,사회기관>특별,광역시청"
274,종교>개신교
274,"생활,편의>복권,로또"
274,"카페,디저트>베이커리"
275,술집>포장마차
287,한식>국수
287,"쇼핑,유통>지역재활용센터"
287,"교육,학문>고등학교"
317,"쇼핑,유통>슈퍼,마트"
318,"숙박>캠핑,야영장"
318,"스포츠,오락>종합운동장"
318,"공공,사회기관>행정복지센터"
319,"교육,학문>고등학교"
319,"쇼핑,유통>슈퍼,마트"
319,"교육,학문>대학원"
322,"문화,예술>공연장"
322,"미용>네일아트,네일샵"
322,"생활,편의>운세,사주"
328,"문화,예술>공연장"
328,"건강,의료>종합병원"
328,"병원,의원>정형외과"
331,한식>두부요리
331,"건강,의료>국립병원"
331,"건강,의료>종합병원"
394,종교>개신교
394,공중전화
394,"사회,복지>장애인복지시설"
395,"쇼핑,유통>시장"
397,"쇼핑,유통>백화점"
397,"사진,스튜디오>셀프,대여스튜디오"
397,한식>갈비탕
401,"카페,디저트>카페"
401,"공공,사회기관>회관"
401,한식>닭갈비
402,"교육,학문>대학교"
402,"쇼핑,유통>백화점"
402,공중전화
403,"교육,학문>초등학교"
403,"쇼핑,유통>상가,아케이드"
403,"쇼핑,유통>백화점"
51,"생활,편의>자동차정비,수리"
51,"사회,복지>장애인복지시설"
51,숙박>호텔
52,"사회,복지>장애인복지시설"
52,"카페,디저트>카페"
52,"공공,사회기관>지방교육청"
53,"사회,복지>장애인복지시설"
53,"병원,의원>정형외과"
53,"공공,사회기관>행정복지센터"
54,"사회,복지>장애인복지시설"
54,음식점>양식
54,"한식>곰탕,설렁탕"
58,종교>개신교
58,"여행,명소>근린공원"
58,숙박>펜션
59,"건강,의료>보건소"
59,"카페,디저트>카페"
59,"육류,고기요리>찜닭"
60,"공공,사회기관>구청"
60,종교>개신교
60,"사회,복지>장애인복지시설"
61,"공공,사회기관>구청"
61,"쇼핑,유통>상가,아케이드"
61,"육류,고기요리>찜닭"
63,"교육,학문>국공립어린이집"
63,부동산>중개업
63,건설업>전문건설업
64,"스포츠,오락>배드민턴장"
64,"쇼핑,유통>종합사무용품"
64,정보통신대>부속건물
65,"스포츠,오락>스포츠시설"
65,"음식점>카페,디저트"
65,"공공,사회기관>민원,상담"
79,음악학원>피아노
79,음식점>한식
79,"쇼핑,유통>캠핑용품"
83,"스포츠,오락>종합운동장"
83,수선>구두수선
83,"육류,고기요리>찜닭"
85,"컴퓨터프로그래밍,정보서비스업>소프트웨어개발"
85,"육류,고기요리>찜닭"
85,수선>구두수선
86,"사회,복지>장애인복지시설"
86,"건강,의료>종합병원"
86,"육류,고기요리>찜닭"
93,"문화,예술>공연장"
93,"교육,학문>초등학교"
93,"컴퓨터프로그래밍,정보서비스업>소프트웨어개발"
94,"카페,디저트>카페"
94,종교>천주교
94,"생활,편의>복권,로또"
95,"사회,복지>장애인복지시설"
95,"공공,사회기관>행정복지센터"
96,"사회,복지>장애인복지시설"
96,패션>여성의류
96,"공공,사회기관>공사,공단"
98,종교>개신교
98,종교>불교
98,"쇼핑,유통>상가,아케이드"
99,"쇼핑,유통>상가,아케이드"
99,"스포츠,오락>실내체육관"
99,"음식점>카페,디저트"
