poi,count
주택,114
"시설,건물",78
"쇼핑,유통",45
"사회,복지",42
"공공,사회기관",36
"건강,의료",30
"교통,운수",28
"육류,고기요리",28
수선,24
종교,24
"교육,학문",23
음식점,21
한식,20
"스포츠,오락",20
"생활,편의",19
"여행,명소",13
"문화,예술",9
"서비스,산업",7
숙박,7
"카페,디저트",7
"금융,보험",6
공중전화,4
부동산,4
"병원,의원",4
제조업,3
분식,3
술집,3
병원,3
"컴퓨터프로그래밍,정보서비스업",3
"기차,철도",2
건설업,2
장례,2
중식,2
미용,2
"임대,대여",2
일식,2
"수리,AS",1
"직업,기술학원",1
"기업,빌딩",1
버스터미널,1
종합도소매,1
식료품,1
초등학교,1
도로시설,1
교통시설,1
"여객,화물운송",1
청소,1
"협회,단체",1
양식,1
"사진,스튜디오",1
"교통,운수서비스",1
엔터테인먼트,1
정보통신대,1
음악학원,1
"문화,유적",1
인쇄업,1
패션,1
"하수,폐기물,환경",1
