deviceid,latitude,longitude,year,week,category
261.0,37.586953064285716,127.01876343571429,2019.0,48.0,none
261.0,37.590551500000004,127.0111632,2019.0,48.0,"시설,건물>기업,빌딩"
261.0,37.604775450000005,127.0403285,2019.0,48.0,none
261.0,37.57966735,127.0011723,2019.0,48.0,"건강,의료>종합병원"
261.0,37.58498375,127.019595,2019.0,48.0,none
261.0,37.5893257,127.016749,2019.0,48.0,"공공,사회기관>구청"
261.0,37.5405223,127.0718314,2019.0,48.0,병원>종합병원
261.0,37.58694647,127.01876078000001,2019.0,49.0,none
261.0,37.5916643,127.0171728,2019.0,49.0,none
261.0,37.5883446,127.0103106,2019.0,49.0,none
